video_id,comment
qqnoDJcBJVk,"Been an iphone 6s user for 7 years, and last week im switching to samsung a15 5g, pretty much having a good time now, i will never go back to overpriced iphone again 😂"
qqnoDJcBJVk,Very satisfied with this phone. The A15 checks ✅ the boxes for my phone needs.
qqnoDJcBJVk,Just got one today. What a useful video you made! Thank you!
qqnoDJcBJVk,Thank you very much. I needed to make some changes and I have found the solution here.
qqnoDJcBJVk,"Wonderful, thanks 4 easy information"
qqnoDJcBJVk,"Excellent job, thanks for taking the time."
qqnoDJcBJVk,Well done. Lots of good information. Thank you.
qqnoDJcBJVk,Excellent video!!!
qqnoDJcBJVk,"Very happy with my two-week-old A15. Quite a switch from my 7 year old Blackberry KeyOne. By the way... who you callin' old, ya young whippersnapper!?  😂"
qqnoDJcBJVk,Happy early birthday mom cause i brought u new Samsung A15 phone
qqnoDJcBJVk,Very helpful thank you.
qqnoDJcBJVk,No screen recording or no screenshot in restricted apps
qqnoDJcBJVk,Can this phone use circle to search?
qqnoDJcBJVk,Thank you! There is so much to know!❤
qqnoDJcBJVk,bro put screenshot as a trick lol
qqnoDJcBJVk,Hello please on this phone am I able to change the emojis the ones it has is like for kids . Not the same as my older phone
qqnoDJcBJVk,thank you for this information!!
qqnoDJcBJVk,Bagus spesifikasi nya galaxy A15 5G👍
qqnoDJcBJVk,Thank you👍
qqnoDJcBJVk,Is there Call recording ?
qqnoDJcBJVk,Y photos r not rotating after taking pics
qqnoDJcBJVk,It's called dual messenger which is available on most android phones
qqnoDJcBJVk,How  do I set icon without frames in Samsung a15   any idea...
qqnoDJcBJVk,Does it have always on display?
qqnoDJcBJVk,But there is no screen recording option
qqnoDJcBJVk,"41 degrees in Washington?  Hope you're air conditioned!   very useful tips, thanks"
qqnoDJcBJVk,I'm upset it doesn't have power sharing
qqnoDJcBJVk,"By accident, all my apps are all on one long page and I can't see my clock on home screen.  How can I get back to normal app pages"
qqnoDJcBJVk,Smooth like a butter. Lol
qqnoDJcBJVk,I’m getting this phone on Verizon wireless
qqnoDJcBJVk,Where is the screen recording in samsung a15 5g????
qqnoDJcBJVk,❤❤❤❤❤❤❤
qqnoDJcBJVk,"Be a bit wary of these tips, I did not and my A15 screen began to flicker and dance. I had to reset."
qqnoDJcBJVk,I have  a great  phone  overvall  but  the  camera is very  bad tbh
qqnoDJcBJVk,Why can't I open widgets
qqnoDJcBJVk,"The only reason I bought this phone was to play Pokemon Go on a cheap good phone and the game sucks on it, looks bad and I can't get it to stay open on the backgrounds lol..."
qqnoDJcBJVk,had enough of redmis
qqnoDJcBJVk,is there anyone who's getting auto-touch problem on samsung A15?
qqnoDJcBJVk,why not
qqnoDJcBJVk,Why do these people speak so fast especially when their accent makes them difficult to understand?
